areaType,areaName,areaCode,date,hospitalCases
overview,United Kingdom,K02000001,2020-12-03,14556
overview,United Kingdom,K02000001,2020-12-02,14936
overview,United Kingdom,K02000001,2020-12-01,15265
overview,United Kingdom,K02000001,2020-11-30,15496
overview,United Kingdom,K02000001,2020-11-29,15253
overview,United Kingdom,K02000001,2020-11-28,14955
overview,United Kingdom,K02000001,2020-11-27,15557
overview,United Kingdom,K02000001,2020-11-26,15788
overview,United Kingdom,K02000001,2020-11-25,16142
overview,United Kingdom,K02000001,2020-11-24,16424
overview,United Kingdom,K02000001,2020-11-23,16661
overview,United Kingdom,K02000001,2020-11-22,16283
overview,United Kingdom,K02000001,2020-11-21,16092
overview,United Kingdom,K02000001,2020-11-20,16246
overview,United Kingdom,K02000001,2020-11-19,16514
overview,United Kingdom,K02000001,2020-11-18,16569
overview,United Kingdom,K02000001,2020-11-17,16538
overview,United Kingdom,K02000001,2020-11-16,16419
overview,United Kingdom,K02000001,2020-11-15,15987
overview,United Kingdom,K02000001,2020-11-14,15446
overview,United Kingdom,K02000001,2020-11-13,15395
overview,United Kingdom,K02000001,2020-11-12,15064
overview,United Kingdom,K02000001,2020-11-11,14884
overview,United Kingdom,K02000001,2020-11-10,14199
overview,United Kingdom,K02000001,2020-11-09,14364
overview,United Kingdom,K02000001,2020-11-08,13785
overview,United Kingdom,K02000001,2020-11-07,13388
overview,United Kingdom,K02000001,2020-11-06,13278
overview,United Kingdom,K02000001,2020-11-05,13115
overview,United Kingdom,K02000001,2020-11-04,13172
overview,United Kingdom,K02000001,2020-11-03,13128
overview,United Kingdom,K02000001,2020-11-02,12501
overview,United Kingdom,K02000001,2020-11-01,11651
overview,United Kingdom,K02000001,2020-10-31,11714
overview,United Kingdom,K02000001,2020-10-30,11293
overview,United Kingdom,K02000001,2020-10-29,11114
overview,United Kingdom,K02000001,2020-10-28,10880
overview,United Kingdom,K02000001,2020-10-27,10494
overview,United Kingdom,K02000001,2020-10-26,9688
overview,United Kingdom,K02000001,2020-10-25,9381
overview,United Kingdom,K02000001,2020-10-24,8890
overview,United Kingdom,K02000001,2020-10-23,8546
overview,United Kingdom,K02000001,2020-10-22,8023
